
                                      ARENA Simulation Results
                                      Jacob - License: STUDENT

                                  Summary for Replication 1 of 1

Project: Unnamed Project                                             Run execution date : 5/ 3/2015
Analyst: Jacob                                                       Model revision date: 5/ 3/2015

Replication ended at time      : 10800.0 Seconds 
Base Time Units: Seconds

                                           TALLY VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Observations
___________________________________________________________________________________________________

Entity 1.VATime                             1.0000     (Insuf)    1.0000     1.0000        144    
Entity 1.NVATime                            .00000     (Insuf)    .00000     .00000        144    
Entity 1.WaitTime                           1976.2     (Insuf)    .00000     8140.7        144    
Entity 1.TranTime                           .25368     (Insuf)    .01000     1.0200        144    
Entity 1.OtherTime                          .00000     (Insuf)    .00000     .00000        144    
Entity 1.TotalTime                          1977.5     (Insuf)    1.0200     8142.7        144    
car parks Area 1.Queue.WaitingTime          5201.2     (Insuf)    .00000     7983.8         54    

                                     DISCRETE-CHANGE VARIABLES

Identifier                                  Average   Half Width  Minimum    Maximum   Final Value
___________________________________________________________________________________________________

Entity 1.WIP                                40.820     (Insuf)    .00000     46.000     42.000    
Park Place.NumberBusy                       1.0000     (Insuf)    .00000     1.0000     1.0000    
Park Place.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Park Place.Utilization                      1.0000     (Insuf)    .00000     1.0000     1.0000    
Resource 1.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 1.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 1.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 2.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 2.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 2.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 3.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 3.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 3.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 4.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 4.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 4.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 5.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 5.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 5.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 6.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 6.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 6.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 7.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 7.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
Resource 7.Utilization                      .00000     (Insuf)    .00000     .00000     .00000    
Resource 8.NumberBusy                       .00000     (Insuf)    .00000     .00000     .00000    
Resource 8.NumberScheduled                  1.0000     (Insuf)    1.0000     1.0000     1.0000    
